subsistema_id,subsistema,data_hora,carga_mw_media,hora,dia,mes,dia_semana
SE,SUDESTE,2025-01-01 17:00:00,36531.05999999,17,1,1,Wednesday
N,NORTE,2025-01-01 18:00:00,7243.717,18,1,1,Wednesday
NE,NORDESTE,2025-01-01 18:00:00,13314.967,18,1,1,Wednesday
S,SUL,2025-01-01 18:00:00,11966.126,18,1,1,Wednesday
SE,SUDESTE,2025-01-01 18:00:00,38713.236,18,1,1,Wednesday
N,NORTE,2025-01-01 19:00:00,7584.457,19,1,1,Wednesday
NE,NORDESTE,2025-01-01 19:00:00,13778.667,19,1,1,Wednesday
S,SUL,2025-01-01 19:00:00,12879.518,19,1,1,Wednesday
SE,SUDESTE,2025-01-01 19:00:00,42135.88,19,1,1,Wednesday
N,NORTE,2025-01-01 20:00:00,7760.34399999,20,1,1,Wednesday
NE,NORDESTE,2025-01-01 20:00:00,13823.916,20,1,1,Wednesday
S,SUL,2025-01-01 20:00:00,13423.447,20,1,1,Wednesday
SE,SUDESTE,2025-01-01 20:00:00,42880.889,20,1,1,Wednesday
N,NORTE,2025-01-01 21:00:00,7950.068,21,1,1,Wednesday
NE,NORDESTE,2025-01-01 21:00:00,14169.462,21,1,1,Wednesday
S,SUL,2025-01-01 21:00:00,13267.566,21,1,1,Wednesday
SE,SUDESTE,2025-01-01 21:00:00,42494.894,21,1,1,Wednesday
N,NORTE,2025-01-01 22:00:00,8083.876,22,1,1,Wednesday
NE,NORDESTE,2025-01-01 22:00:00,14313.776,22,1,1,Wednesday
S,SUL,2025-01-01 22:00:00,12921.198,22,1,1,Wednesday
SE,SUDESTE,2025-01-01 22:00:00,41316.17299999,22,1,1,Wednesday
N,NORTE,2025-01-01 23:00:00,8128.672,23,1,1,Wednesday
NE,NORDESTE,2025-01-01 23:00:00,14162.127,23,1,1,Wednesday
S,SUL,2025-01-01 23:00:00,12136.253,23,1,1,Wednesday
SE,SUDESTE,2025-01-01 23:00:00,39554.35499999,23,1,1,Wednesday
N,NORTE,2025-01-02 00:00:00,8003.64399999,0,2,1,Thursday
NE,NORDESTE,2025-01-02 00:00:00,13814.316,0,2,1,Thursday
S,SUL,2025-01-02 00:00:00,11426.02799999,0,2,1,Thursday
SE,SUDESTE,2025-01-02 00:00:00,37511.013,0,2,1,Thursday
N,NORTE,2025-01-02 01:00:00,7806.286,1,2,1,Thursday
NE,NORDESTE,2025-01-02 01:00:00,13534.999,1,2,1,Thursday
S,SUL,2025-01-02 01:00:00,10910.133,1,2,1,Thursday
SE,SUDESTE,2025-01-02 01:00:00,35728.71399999,1,2,1,Thursday
N,NORTE,2025-01-02 02:00:00,7699.036,2,2,1,Thursday
NE,NORDESTE,2025-01-02 02:00:00,13254.046,2,2,1,Thursday
S,SUL,2025-01-02 02:00:00,10537.11999999,2,2,1,Thursday
SE,SUDESTE,2025-01-02 02:00:00,34713.515,2,2,1,Thursday
N,NORTE,2025-01-02 03:00:00,7560.124,3,2,1,Thursday
NE,NORDESTE,2025-01-02 03:00:00,13053.245,3,2,1,Thursday
S,SUL,2025-01-02 03:00:00,10288.471,3,2,1,Thursday
SE,SUDESTE,2025-01-02 03:00:00,34104.886,3,2,1,Thursday
N,NORTE,2025-01-02 04:00:00,7430.633,4,2,1,Thursday
NE,NORDESTE,2025-01-02 04:00:00,12892.022,4,2,1,Thursday
S,SUL,2025-01-02 04:00:00,10172.806,4,2,1,Thursday
SE,SUDESTE,2025-01-02 04:00:00,33992.543,4,2,1,Thursday
N,NORTE,2025-01-02 05:00:00,7329.973,5,2,1,Thursday
NE,NORDESTE,2025-01-02 05:00:00,12384.52899999,5,2,1,Thursday
S,SUL,2025-01-02 05:00:00,10294.39599999,5,2,1,Thursday
SE,SUDESTE,2025-01-02 05:00:00,34234.47199999,5,2,1,Thursday
N,NORTE,2025-01-02 06:00:00,7124.658,6,2,1,Thursday
NE,NORDESTE,2025-01-02 06:00:00,12104.686,6,2,1,Thursday
S,SUL,2025-01-02 06:00:00,11047.885,6,2,1,Thursday
SE,SUDESTE,2025-01-02 06:00:00,35795.499,6,2,1,Thursday
N,NORTE,2025-01-02 07:00:00,7161.435,7,2,1,Thursday
NE,NORDESTE,2025-01-02 07:00:00,12662.606,7,2,1,Thursday
S,SUL,2025-01-02 07:00:00,12275.107,7,2,1,Thursday
SE,SUDESTE,2025-01-02 07:00:00,38543.52,7,2,1,Thursday
N,NORTE,2025-01-02 08:00:00,7376.482,8,2,1,Thursday
NE,NORDESTE,2025-01-02 08:00:00,12969.43399999,8,2,1,Thursday
S,SUL,2025-01-02 08:00:00,13190.804,8,2,1,Thursday
SE,SUDESTE,2025-01-02 08:00:00,40766.469,8,2,1,Thursday
N,NORTE,2025-01-02 09:00:00,7624.39299999,9,2,1,Thursday
NE,NORDESTE,2025-01-02 09:00:00,13007.728,9,2,1,Thursday
S,SUL,2025-01-02 09:00:00,13721.309,9,2,1,Thursday
SE,SUDESTE,2025-01-02 09:00:00,42016.494,9,2,1,Thursday
N,NORTE,2025-01-02 10:00:00,7775.855,10,2,1,Thursday
NE,NORDESTE,2025-01-02 10:00:00,13200.073,10,2,1,Thursday
S,SUL,2025-01-02 10:00:00,14392.139,10,2,1,Thursday
SE,SUDESTE,2025-01-02 10:00:00,43885.588,10,2,1,Thursday
N,NORTE,2025-01-02 11:00:00,7717.09399999,11,2,1,Thursday
NE,NORDESTE,2025-01-02 11:00:00,13295.853,11,2,1,Thursday
S,SUL,2025-01-02 11:00:00,14826.96599999,11,2,1,Thursday
SE,SUDESTE,2025-01-02 11:00:00,44899.17599999,11,2,1,Thursday
N,NORTE,2025-01-02 12:00:00,7605.14299999,12,2,1,Thursday
NE,NORDESTE,2025-01-02 12:00:00,13158.441,12,2,1,Thursday
S,SUL,2025-01-02 12:00:00,14438.325,12,2,1,Thursday
SE,SUDESTE,2025-01-02 12:00:00,45226.11099999,12,2,1,Thursday
N,NORTE,2025-01-02 13:00:00,7651.784,13,2,1,Thursday
NE,NORDESTE,2025-01-02 13:00:00,13477.21099999,13,2,1,Thursday
S,SUL,2025-01-02 13:00:00,14718.21399999,13,2,1,Thursday
SE,SUDESTE,2025-01-02 13:00:00,45967.072,13,2,1,Thursday
N,NORTE,2025-01-02 14:00:00,7728.20199999,14,2,1,Thursday
NE,NORDESTE,2025-01-02 14:00:00,13946.229,14,2,1,Thursday
S,SUL,2025-01-02 14:00:00,14935.81,14,2,1,Thursday
SE,SUDESTE,2025-01-02 14:00:00,46866.173,14,2,1,Thursday
N,NORTE,2025-01-02 15:00:00,7835.34699999,15,2,1,Thursday
NE,NORDESTE,2025-01-02 15:00:00,14206.306,15,2,1,Thursday
S,SUL,2025-01-02 15:00:00,14558.911,15,2,1,Thursday
SE,SUDESTE,2025-01-02 15:00:00,47373.98699999,15,2,1,Thursday
N,NORTE,2025-01-02 16:00:00,7746.115,16,2,1,Thursday
NE,NORDESTE,2025-01-02 16:00:00,14470.759,16,2,1,Thursday
S,SUL,2025-01-02 16:00:00,14701.433,16,2,1,Thursday
SE,SUDESTE,2025-01-02 16:00:00,47713.829,16,2,1,Thursday
N,NORTE,2025-01-02 17:00:00,7637.909,17,2,1,Thursday
NE,NORDESTE,2025-01-02 17:00:00,14337.09899999,17,2,1,Thursday
S,SUL,2025-01-02 17:00:00,14671.884,17,2,1,Thursday
SE,SUDESTE,2025-01-02 17:00:00,46442.029,17,2,1,Thursday
N,NORTE,2025-01-02 18:00:00,7603.961,18,2,1,Thursday
NE,NORDESTE,2025-01-02 18:00:00,14854.185,18,2,1,Thursday
S,SUL,2025-01-02 18:00:00,14251.065,18,2,1,Thursday
SE,SUDESTE,2025-01-02 18:00:00,46540.63,18,2,1,Thursday
N,NORTE,2025-01-02 19:00:00,7869.739,19,2,1,Thursday
NE,NORDESTE,2025-01-02 19:00:00,15189.091,19,2,1,Thursday
